file_name,text
0.png,"{'mark': 'circle', 'encoding': {'x': {'field': '', 'type': 'quantitative'}, 'y': {'field': 'Time', 'type': 'quantitative'}}, 'data': {'values': [{'x': 5553, 'y': 143}, {'x': 2468, 'y': 143}, {'x': 5553, 'y': 1430}, {'x': 4319, 'y': 1001}, {'x': 2468, 'y': 143}, {'x': 4936, 'y': 286}, {'x': 6170, 'y': 286}, {'x': 3085, 'y': 286}]}}"
1.png,"{'mark': 'line', 'encoding': {'x': {'field': '', 'type': 'temporal'}, 'y': {'field': '', 'type': 'quantitative'}}, 'data': {'values': [{'x': 1898, 'y': 1100}, {'x': 1902, 'y': 2750}, {'x': 1906, 'y': 1100}, {'x': 1910, 'y': 5500}, {'x': 1914, 'y': 5500}, {'x': 1918, 'y': 2200}]}}"
2.png,"{'mark': 'bar', 'encoding': {'x': {'field': 'Social Media Activity', 'type': 'nominal'}, 'y': {'field': 'Stress Level', 'type': 'quantitative'}}, 'data': {'values': [{'x': 'Red', 'y': 9600}, {'x': 'USA', 'y': 3840}, {'x': 'Dog', 'y': 9600}, {'x': 'Nike', 'y': 7680}, {'x': 'Apple', 'y': 6720}, {'x': 'Male', 'y': 2880}, {'x': 'Rock', 'y': 2880}]}}"
3.png,"{'mark': 'bar', 'encoding': {'x': {'field': '', 'type': 'nominal'}, 'y': {'field': 'Median Household Income $ by Urbanization Level and Region', 'type': 'quantitative'}}, 'data': {'values': [{'x': 'Red', 'y': 109.51}, {'x': 'USA', 'y': 79.23}]}}"
4.png,"{'mark': 'circle', 'encoding': {'x': {'field': 'Normalized Residuals vs Predicted Values for Regression Model', 'type': 'quantitative'}, 'y': {'field': 'Residual Analysis Of Fitted Models In Epidemiological Studies', 'type': 'quantitative'}}, 'data': {'values': [{'x': 2325, 'y': 5.51}, {'x': 4185, 'y': 53.55}, {'x': 1395, 'y': 53.55}, {'x': 4185, 'y': 466.12}, {'x': 930, 'y': 208.69}, {'x': 2325, 'y': 257.75}, {'x': 4185, 'y': 307.66}]}}"
5.png,"{'mark': 'line', 'encoding': {'x': {'field': 'Vehicle Miles', 'type': 'temporal'}, 'y': {'field': '', 'type': 'quantitative'}}, 'data': {'values': [{'x': 1911, 'y': 8730}, {'x': 1920, 'y': 2910}, {'x': 1929, 'y': 8730}, {'x': 1938, 'y': 2910}, {'x': 1947, 'y': 7760}, {'x': 1956, 'y': 2910}, {'x': 1965, 'y': 8730}, {'x': 1974, 'y': 2910}]}}"
6.png,"{'mark': 'bar', 'encoding': {'x': {'field': 'Loan Amount', 'type': 'nominal'}, 'y': {'field': 'Expenses', 'type': 'quantitative'}}, 'data': {'values': [{'x': 'Red', 'y': 472}, {'x': 'USA', 'y': 944}, {'x': 'Dog', 'y': 2124}, {'x': 'Nike', 'y': 236}, {'x': 'Apple', 'y': 944}, {'x': 'Male', 'y': 944}]}}"
7.png,"{'mark': 'line', 'encoding': {'x': {'field': 'Proportion of Respondents Supporting Policy Change by Country', 'type': 'temporal'}, 'y': {'field': 'Water Usage', 'type': 'quantitative'}}, 'data': {'values': [{'x': 1857, 'y': 264.34}, {'x': 1866, 'y': 19.66}, {'x': 1875, 'y': 234.56}, {'x': 1884, 'y': 290.62}]}}"
8.png,"{'mark': 'line', 'encoding': {'x': {'field': 'Normalization Factors For Comparing Multi Year Economic Indicators', 'type': 'temporal'}, 'y': {'field': '', 'type': 'quantitative'}}, 'data': {'values': [{'x': 1800, 'y': 6856}, {'x': 1807, 'y': 5999}, {'x': 1814, 'y': 6856}, {'x': 1821, 'y': 3428}, {'x': 1828, 'y': 857}, {'x': 1835, 'y': 5999}, {'x': 1842, 'y': 2571}, {'x': 1849, 'y': 5999}]}}"
9.png,"{'mark': 'bar', 'encoding': {'x': {'field': 'Probabilistic Modeling Of Financial Risks In Investment Portfolios', 'type': 'nominal'}, 'y': {'field': 'Relative Risk Assessment Of Health Outcomes In Demographic Studies', 'type': 'quantitative'}}, 'data': {'values': [{'x': 'Red', 'y': 6.23}, {'x': 'USA', 'y': 6.23}, {'x': 'Dog', 'y': 26.15}, {'x': 'Nike', 'y': 6.23}, {'x': 'Apple', 'y': 44.34}]}}"
